Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,146392384055.4,,,,,,,,,
2013,178906104833.4,,,,,,,,,
2014,214916076724.03366,,,,,,,,,
2015,247293713343.59998,,,,,,,,,
2016,326385877103.2085,,,,,,,,,
2017,401333320748.83154,,,,,,,,,
2018,485768480829.30975,,,,,,,,,
2019,579848937381.419,,,,,,,,,
2020,642917761172.3202,,,,,,,,,
2021,797067133017.1881,,,,,,,,,
2022,920319278111.7583,,,,,,,,,
2023,1053605476511.6519,,,,,,,,,
2024,1197015421001.4834,,,,,,,,,
2025,1259403524236.2961,,,,,,,,,
2026,1514559619900.7085,,,,,,,,,
2027,1688915201740.797,,,,,,,,,
2028,1873804409568.05,,,,,,,,,
2029,2069333655912.3284,,,,,,,,,
2030,2225848255495.157,,,,,,,,,
2031,2492731624369.6914,,,,,,,,,
2032,2720814529035.016,,,,,,,,,
2033,2960003698911.7847,,,,,,,,,
2034,3210471497870.332,,,,,,,,,
2035,3559276915900.3906,,,,,,,,,
2036,3745914930637.619,,,,,,,,,
2037,4031176181428.555,,,,,,,,,
2038,4328283949983.4736,,,,,,,,,
2039,4637322265110.636,,,,,,,,,
2040,5059688404812.8545,,,,,,,,,
2041,5291550537784.25,,,,,,,,,
2042,5636970892778.465,,,,,,,,,
2043,5994732904344.332,,,,,,,,,
2044,6364927708851.738,,,,,,,,,
2045,6711616267785.22,,,,,,,,,
2046,7142967434702.766,,,,,,,,,
2047,7550987552106.619,,,,,,,,,
2048,7971777942079.454,,,,,,,,,
2049,8405406721839.631,,,,,,,,,
2050,8764655009538.769,,,,,,,,,
2051,9311448150843.834,,,,,,,,,
2052,9784001320518.45,,,,,,,,,
2053,10269665285756.19,,,,,,,,,
2054,10768505273861.523,,,,,,,,,
2055,11323602267578.395,,,,,,,,,
2056,11805970268543.113,,,,,,,,,
2057,12344725160663.088,,,,,,,,,
2058,12896929061766.594,,,,,,,,,
2059,13462667306667.383,,,,,,,,,
2060,14040906411169.854,,,,,,,,,
